label,cluster_no
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
rice,3
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,4
pigeonpeas,7
pigeonpeas,4
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,5
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,5
pigeonpeas,7
pigeonpeas,5
pigeonpeas,5
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,5
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,5
pigeonpeas,7
pigeonpeas,5
pigeonpeas,7
pigeonpeas,4
pigeonpeas,5
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,5
pigeonpeas,4
pigeonpeas,5
pigeonpeas,4
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,4
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,4
pigeonpeas,4
pigeonpeas,3
pigeonpeas,3
pigeonpeas,7
pigeonpeas,7
pigeonpeas,5
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,4
pigeonpeas,7
pigeonpeas,7
pigeonpeas,4
pigeonpeas,7
pigeonpeas,7
pigeonpeas,5
pigeonpeas,5
pigeonpeas,7
pigeonpeas,7
pigeonpeas,5
pigeonpeas,7
pigeonpeas,7
pigeonpeas,4
pigeonpeas,7
pigeonpeas,7
pigeonpeas,5
pigeonpeas,5
pigeonpeas,7
pigeonpeas,7
pigeonpeas,3
pigeonpeas,7
pigeonpeas,3
pigeonpeas,0
pigeonpeas,7
mothbeans,7
mothbeans,7
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,7
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,7
mothbeans,4
mothbeans,4
mothbeans,7
mothbeans,4
mothbeans,7
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,7
mothbeans,7
mothbeans,4
mothbeans,7
mothbeans,4
mothbeans,7
mothbeans,7
mothbeans,7
mothbeans,7
mothbeans,7
mothbeans,7
mothbeans,7
mothbeans,7
mothbeans,4
mothbeans,7
mothbeans,4
mothbeans,7
mothbeans,7
mothbeans,4
mothbeans,4
mothbeans,7
mothbeans,7
mothbeans,4
mothbeans,7
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,7
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,7
mothbeans,7
mothbeans,7
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,7
mothbeans,7
mothbeans,4
mothbeans,4
mothbeans,7
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,7
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,7
mothbeans,7
mothbeans,4
mothbeans,4
mothbeans,7
mothbeans,7
mothbeans,7
mothbeans,7
mothbeans,4
mothbeans,4
mothbeans,7
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,7
mothbeans,4
mothbeans,7
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,7
mothbeans,7
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
mungbean,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
blackgram,4
lentil,4
lentil,4
lentil,4
lentil,4
lentil,4
lentil,4
lentil,4
lentil,4
lentil,4
lentil,4
lentil,4
lentil,4
lentil,4
lentil,4
lentil,2
lentil,4
lentil,4
lentil,4
lentil,4
lentil,4
lentil,4
lentil,4
